"DateTime","BTC","ETH","Stablecoins","Otros"
"2019-06-09 18:00:00",136273768278.69757,24723131896.457783,4168409687.39,78940648358.11464
"2019-06-16 18:00:00",160044972093.6051,28705808640.016964,4401364412.58,88418686716.01793
"2019-06-23 18:00:00",192777835456.1448,32829464800.282352,4410430910.76,96240622346.95284
"2019-06-30 18:00:00",192209366982.17966,31012429349.495373,4446209456.03,85064040430.78496
"2019-07-07 18:00:00",204079737655.08698,32705645342.3861,4592445054.25,87184490080.53691
"2019-07-14 18:00:00",182640350268.56345,24354539328.681133,4806315991.41,67016696320.345406
"2019-07-21 18:00:00",189190665656.13916,24190172863.409386,4925635509.3,71937244035.56145
"2019-07-28 18:00:00",170499961955.59525,22645395578.312595,4968991558.27,66715116779.54215
"2019-08-04 18:00:00",195858816740.95996,23873527369.574642,5144777959.89,68066091124.515396
"2019-08-11 18:00:00",205806749299.23886,23139024635.55155,5101282977.98,65963992834.07958
"2019-08-18 18:00:00",184993881159.79108,20894351694.929176,5106740499.01,59704987356.76975
"2019-08-25 18:00:00",181332659914.10043,20086200164.891148,5104619857.91,57540563597.98841
"2019-09-01 18:00:00",174725137037.3624,18506970192.978443,5100489677.57,53678906254.44916
"2019-09-08 18:00:00",187110557493.33975,19523183052.33423,5249736338.22,55807805700.44601
"2019-09-15 18:00:00",185578448439.9793,20473460441.39655,5266506252.16,55088474627.704155
"2019-09-22 18:00:00",180777994058.38126,22831284617.63274,5196065666.5,56634675086.256004
"2019-09-29 18:00:00",145513115036.49466,18430749550.834747,5230217648.17,45363167951.54058
"2019-10-06 18:00:00",143472448846.8713,18670853900.530605,5312966348.05,46925289846.49809
"2019-10-13 18:00:00",149554484620.89914,19657318282.817455,5288597805.8,49699883819.5434
"2019-10-20 18:00:00",148173746075.07672,18993688511.094593,5280041052.41,50284672496.7287
"2019-10-27 18:00:00",172499579503.21695,19974475606.535908,5288774609.41,54765389851.64713
"2019-11-03 18:00:00",166462316878.7095,19776848050.530453,5259194234.9,55574352039.38006
"2019-11-10 18:00:00",163364748174.13358,20575448878.439533,5230717231.19,56991175473.14688
"2019-11-17 18:00:00",154842353565.79153,20115453046.491837,5235977078.79,54998968778.776634
"2019-11-24 18:00:00",127004736593.3904,15555499462.5141,5234573650.98,43860874356.3755
"2019-12-01 18:00:00",134282440140.98181,16445303072.405922,5253258112.05,46154938337.08226
"2019-12-08 18:00:00",136826716822.87526,16477448862.553719,5302572998.19,46523052606.76102
"2019-12-15 18:00:00",129661328968.67361,15593818240.832516,5395063521.85,44464113929.09388
"2019-12-22 18:00:00",136460710737.629,14416402305.269932,5297618628.81,42055530133.52107
"2019-12-29 18:00:00",134468662789.64449,14684041488.580954,5283654800.39,42491987677.03457
"2020-01-05 18:00:00",134460377957.16681,14872554640.096846,5324552681.6,43122297760.026344
"2020-01-12 18:00:00",148623400473.72607,16037333171.521326,5745283287.09,48439894834.53261
"2020-01-19 18:00:00",158321623201.4488,18263491100.012234,5671507528.3,56629092994.25897
"2020-01-26 18:00:00",156499290530.4657,18402322183.445168,5780174661.78,57073970129.60914
"2020-02-02 18:00:00",170004469220.07938,20621480918.28144,5818965145.33,63198539219.13919
"2020-02-09 18:00:00",184486166163.18625,25088078485.428967,5822621931.49,74570537514.18478
"2020-02-16 18:00:00",180891431634.31958,28471676189.747482,5816435999.47,72853049856.38293
"2020-02-23 18:00:00",180863880750.30246,30047602662.17295,5850955350.07,72260129109.8946
"2020-03-01 18:00:00",156084173198.82953,23932587490.260445,5838918478.33,57703973142.140015
"2020-03-08 18:00:00",147951754406.5492,22522073578.363907,5859765663.43,54811965206.73691
"2020-03-15 18:00:00",97469192840.33563,13704246819.601877,6012382240.13,35713649829.85249
"2020-03-22 18:00:00",105780190268.62915,13506190365.912254,6112350397.25,37955600036.6986
"2020-03-29 18:00:00",108203437915.23332,13832864228.553446,6137030948.12,39821042712.42323
"2020-04-05 18:00:00",124178004966.36812,15852539294.783682,7727515482.78,42795775534.21819
"2020-04-12 18:00:00",127349493899.92056,17693675903.068474,7980347544.8,45497744488.04096
"2020-04-19 18:00:00",131681877228.60332,19996673015.770973,8035780427.34,47162317479.785706
"2020-04-26 18:00:00",141322115947.34253,21880363407.058437,7980205850.53,50428100637.03904
"2020-05-03 18:00:00",163655471479.58307,23375998238.38263,8118719306.76,53797781029.2943
"2020-05-10 18:00:00",161002863406.78165,20917349494.33899,8080082423.67,49905203441.95935
"2020-05-17 18:00:00",178061835629.24448,22983067946.22933,10451690870.62,61276866794.39619
"2020-05-24 18:00:00",161099222524.00946,22288835760.215775,10455660844.26,51463743956.96475
"2020-05-31 18:00:00",173950651647.76044,25642611324.020668,10483119400.19,55803360631.08888
"2020-06-07 18:00:00",179763960699.0737,27308254795.896317,10908076482.32,59399784916.71999
"2020-06-14 18:00:00",172718935758.7432,26013014519.810883,10928081620.6,56375863447.995926
"2020-06-21 18:00:00",171164992440.77667,25515154217.567936,10886847733.85,56796310721.9154
"2020-06-28 18:00:00",168110009823.14206,25131103750.542847,11081098964.48,54717872348.395096
"2020-07-05 18:00:00",167093607091.6809,25426214410.98948,11225877543.12,56560823606.86961
"2020-07-12 18:00:00",171301164845.18356,27108242837.99428,11303734397.29,64877185460.23214
"2020-07-19 18:00:00",169693622626.09238,26760971548.662735,11457771290.47,65750837876.934875
"2020-07-26 18:00:00",182723132542.22467,34725714216.26373,12436469331.18,69966995632.71161
"2020-08-02 18:00:00",203682874498.5348,41508331002.41261,12446425220.59,76244424998.40259
"2020-08-09 18:00:00",215677731899.91626,43908080747.57308,12561524027.56,85150368315.73067
"2020-08-16 18:00:00",219791862272.75934,48791927824.75727,12720932152.99,95230373243.68341
"2020-08-23 18:00:00",215332195088.36838,43890316480.766205,13040692983.25,91256356651.44542
"2020-08-30 18:00:00",216333519498.11148,48211664393.553894,13127342122.34,96088278681.96461
"2020-09-06 18:00:00",189960683045.26556,39794578364.473145,17516886340.12,83224641409.1813
"2020-09-13 18:00:00",190982313860.37106,41146100471.0065,18611929233.52,86266472951.53246
"2020-09-20 18:00:00",202246809733.18948,41729572794.69591,19930564962.68,83126270227.80461
"2020-09-27 18:00:00",199423455711.2254,40378371635.20484,20413253870.65,84036751523.65974
"2020-10-04 18:00:00",197611846878.19833,39805525512.91373,20807880686.23,81309222348.23796
"2020-10-11 18:00:00",210888960518.64664,42326523075.12231,21200018550.62,86284181394.57108
"2020-10-18 18:00:00",212945049781.73172,42794912025.29271,21285061401.77,84101848721.90556
"2020-10-25 18:00:00",241308512141.24832,45917606087.36516,23276637062.91,84518020317.06651
"2020-11-01 18:00:00",255305349076.21912,45039871161.49042,23832109302.63,77647177632.86046
"2020-11-08 18:00:00",287283652683.2034,51507421225.88115,24623474264.38,82832324321.03543
"2020-11-15 18:00:00",295393474293.0917,50682338162.77354,25379650155.58,84185299731.32478
"2020-11-22 18:00:00",341281755223.37067,63865456387.66945,26417925509.14,103143620138.74991
"2020-11-29 18:00:00",338101650909.59454,65884676074.485794,27128997535.22,113473995831.77965
"2020-12-06 18:00:00",360337440869.6686,68554455903.46853,27986851356.08,116960007624.13289
"2020-12-13 18:00:00",355209238998.17065,67031104551.897316,28121780062.15,111941536023.48204
